"ID","Arabidopsis.name","Arabidopsis.ID","Abbreviation"
"AT1G01060","LHY","AT1G01060","LHY"
"AT5G61380","TOC1","AT5G61380","TOC1"
"AT1G22770","GI","AT1G22770","GI"
"AT5G15840","CO","AT5G15840","CO"
"AT1G65480","FT","AT1G65480","FT"
"AT5G24470","PRR5","AT5G24470","PRR5"
"AT5G62430","CDF1","AT5G62430","CDF1"
"AT5G39660","CDF2","AT5G39660","CDF2"
"AT3G47500","CDF3","AT3G47500","CDF3"
