"ID","Arabidopsis.name","Arabidopsis.ID","Abbreviation"
"LHY2","LHY","AT1G01060","LHY"
"TOC1","TOC1","AT5G61380","TOC1"
"GI","GI","AT1G22770","GI"
"CO1","CO","AT5G15840","CO"
"FT2","FT","AT1G65480","FT"
"PtpAffx.37666.1.S1_at","PRR5","AT5G24470","PRR5"
"CDF2","CDF1","AT5G62430","CDF"
